year,state,production_oz,
1804,North Carolina,114,
1805,North Carolina,141,
1806,North Carolina,169,
1807,North Carolina,197,
1808,North Carolina,226,
1809,North Carolina,254,
1810,North Carolina,283,
1811,North Carolina,311,
1812,North Carolina,340,
1813,North Carolina,369,
1814,North Carolina,398,
1815,North Carolina,427,
1816,North Carolina,456,
1817,North Carolina,485,
1818,North Carolina,514,
1819,North Carolina,543,
1820,North Carolina,571,
1821,North Carolina,600,
1822,North Carolina,629,
1823,North Carolina,658,
1824,North Carolina,702,
1825,North Carolina,773,
1826,North Carolina,815,
1827,North Carolina,856,
1828,North Carolina,898,
1829,North Carolina,939,
1829,South Carolina,NA,
1830,North Carolina,10256,
1830,Georgia,NA,
1830,South Carolina,NA,
1831,North Carolina,18515,
1831,Alabama,NA,
1831,Georgia,NA,
1831,South Carolina,NA,
1832,North Carolina,26773,
1832,Georgia,NA,
1832,South Carolina,NA,
1833,North Carolina,33392,
1833,Alabama,10450,
1833,Georgia,NA,
1833,South Carolina,NA,
1834,North Carolina,32380,
1834,Alabama,20077,
1834,Georgia,NA,
1834,South Carolina,NA,
1835,North Carolina,31598,
1835,Alabama,15477,
1835,Georgia,NA,
1835,South Carolina,NA,
1836,North Carolina,22647,
1836,Alabama,9744,
1836,Georgia,NA,
1836,South Carolina,NA,
1837,North Carolina,22283,
1837,Alabama,4045,
1837,Georgia,NA,
1837,South Carolina,NA,
1838,North Carolina,15135,
1838,Alabama,526,
1838,Georgia,NA,
1838,South Carolina,NA,
1839,North Carolina,14924,
1839,Alabama,615,
1839,Georgia,NA,
1839,South Carolina,NA,
1840,North Carolina,17213,
1840,Alabama,440,
1840,Georgia,NA,
1840,South Carolina,NA,
1841,North Carolina,16677,
1841,Alabama,412,
1841,Georgia,NA,
1841,South Carolina,NA,
1842,North Carolina,15777,
1842,Alabama,621,
1842,Georgia,NA,
1842,South Carolina,NA,
1843,North Carolina,13516,
1843,Alabama,796,
1843,Georgia,NA,
1843,South Carolina,NA,
1844,North Carolina,13043,
1844,Alabama,3788,
1844,Georgia,NA,
1844,South Carolina,NA,
1845,North Carolina,12554,
1845,Alabama,4211,
1845,Georgia,NA,
1845,South Carolina,NA,
1846,North Carolina,11631,
1846,Alabama,840,
1846,Georgia,NA,
1846,South Carolina,NA,
1847,North Carolina,11213,
1847,Alabama,991,
1847,Georgia,NA,
1847,South Carolina,NA,
1848,North Carolina,700,
1848,Alabama,527,
1848,California,11866,
1848,Georgia,526,
1848,South Carolina,NA,
1849,North Carolina,516,
1849,Alabama,NA,
1849,California,1072,
1849,Georgia,404,
1849,South Carolina,NA,
1850,North Carolina,316,
1850,Alabama,NA,
1850,California,1996586,
1850,Georgia,2962,
1850,South Carolina,NA,
1851,North Carolina,NA,
1851,Alabama,NA,
1851,California,3673512,
1851,Georgia,7606,
1851,South Carolina,NA,
1852,North Carolina,NA,
1852,Alabama,NA,
1852,California,3932631,
1852,Georgia,4671,
1852,Oregon,NA,
1852,South Carolina,NA,
1853,North Carolina,NA,
1853,Alabama,NA,
1853,California,3270803,
1853,Georgia,2849,
1853,Oregon,NA,
1854,North Carolina,NA,
1854,Alabama,NA,
1854,California,3358867,
1854,Georgia,2701,
1854,Oregon,NA,
1855,North Carolina,NA,
1855,Alabama,NA,
1855,California,2684106,
1855,Georgia,3460,
1855,Oregon,NA,
1855,Vermont,NA,
1856,North Carolina,NA,
1856,Alabama,NA,
1856,California,2782018,
1856,Georgia,4360,
1856,Oregon,NA,
1857,North Carolina,NA,
1857,Alabama,NA,
1857,California,2110513,
1857,Georgia,1891,
1857,Oregon,NA,
1858,North Carolina,NA,
1858,Alabama,NA,
1858,California,2253846,
1858,Colorado,NA,
1858,Georgia,1210,
1858,Oregon,NA,
1858,Arizona,NA,
1859,North Carolina,NA,
1859,Alabama,NA,
1859,California,2217829,
1859,Colorado,NA,
1859,Georgia,1210,
1859,Nevada,NA,
1859,Oregon,NA,
1859,Arizona,NA,
1860,North Carolina,NA,
1860,Alabama,NA,
1860,California,2133104,
1860,Colorado,NA,
1860,Georgia,1210,
1860,Nevada,NA,
1860,Oregon,NA,
1860,Vermont,NA,
1860,Arizona,NA,
1861,North Carolina,NA,
1861,Alabama,NA,
1861,California,2026187,
1861,Colorado,NA,
1861,Georgia,1210,
1861,Maryland,NA,
1861,Nevada,NA,
1861,Oregon,NA,
1861,Arizona,NA,
1862,North Carolina,NA,
1862,Alabama,NA,
1862,California,1879595,
1862,Colorado,NA,
1862,Georgia,1210,
1862,Idaho,NA,
1862,Montana,NA,
1862,Nevada,NA,
1862,Oregon,NA,
1862,South Dakota,NA,
1862,Utah,NA,
1862,Arizona,NA,
1863,North Carolina,NA,
1863,Alabama,NA,
1863,California,1136897,
1863,Colorado,NA,
1863,Georgia,1210,
1863,Idaho,NA,
1863,Montana,NA,
1863,Nevada,NA,
1863,Oregon,NA,
1863,South Dakota,NA,
1863,Utah,NA,
1863,Arizona,NA,
1864,North Carolina,NA,
1864,Alabama,NA,
1864,California,1164455,
1864,Colorado,NA,
1864,Georgia,1210,
1864,Idaho,NA,
1864,Montana,NA,
1864,Nevada,NA,
1864,Oregon,NA,
1864,Utah,NA,
1864,Washington,NA,
1864,Arizona,NA,
1865,North Carolina,NA,
1865,Alabama,NA,
1865,California,867405,
1865,Colorado,NA,
1865,Georgia,1210,
1865,Idaho,NA,
1865,Montana,NA,
1865,Nevada,NA,
1865,Oregon,NA,
1865,Utah,NA,
1865,Washington,NA,
1865,Arizona,NA,
1866,North Carolina,NA,
1866,Alabama,NA,
1866,California,828367,
1866,Colorado,NA,
1866,Georgia,1210,
1866,Idaho,NA,
1866,Montana,NA,
1866,Nevada,NA,
1866,Oregon,NA,
1866,South Dakota,NA,
1866,Utah,NA,
1866,Washington,NA,
1866,Arizona,NA,
1867,North Carolina,NA,
1867,Alabama,NA,
1867,California,883591,
1867,Colorado,NA,
1867,Georgia,1210,
1867,Idaho,NA,
1867,Maryland,NA,
1867,Montana,NA,
1867,Nevada,NA,
1867,Oregon,NA,
1867,South Dakota,NA,
1867,Utah,NA,
1867,Washington,NA,
1867,Wyoming,NA,
1867,Arizona,NA,
1868,North Carolina,NA,
1868,Alabama,NA,
1868,California,849265,
1868,Colorado,97300,
1868,Georgia,1210,
1868,Idaho,NA,
1868,Maryland,NA,
1868,Montana,NA,
1868,Nevada,NA,
1868,Oregon,NA,
1868,South Dakota,NA,
1868,Utah,NA,
1868,Washington,NA,
1868,Wyoming,NA,
1868,Arizona,NA,
1869,North Carolina,NA,
1869,Alabama,NA,
1869,California,881830,
1869,Colorado,153800,
1869,Georgia,1210,
1869,Idaho,NA,
1869,Maryland,NA,
1869,Montana,NA,
1869,Nevada,NA,
1869,Oregon,NA,
1869,South Dakota,NA,
1869,Utah,NA,
1869,Washington,NA,
1869,Wyoming,NA,
1869,Arizona,NA,
1870,North Carolina,NA,
1870,Alabama,NA,
1870,California,844537,
1870,Colorado,145800,
1870,Georgia,1210,
1870,Idaho,NA,
1870,Maryland,NA,
1870,Montana,NA,
1870,Nevada,NA,
1870,Oregon,NA,
1870,South Dakota,NA,
1870,Utah,NA,
1870,Washington,NA,
1870,Wyoming,NA,
1870,Arizona,NA,
1871,North Carolina,NA,
1871,Alabama,NA,
1871,California,845493,
1871,Colorado,175700,
1871,Georgia,1210,
1871,Idaho,NA,
1871,Maryland,NA,
1871,Montana,NA,
1871,Nevada,NA,
1871,Oregon,NA,
1871,South Dakota,NA,
1871,Utah,NA,
1871,Washington,NA,
1871,Wyoming,NA,
1871,Arizona,NA,
1872,North Carolina,NA,
1872,Alabama,NA,
1872,California,748951,
1872,Colorado,128000,
1872,Georgia,1210,
1872,Idaho,NA,
1872,Maryland,NA,
1872,Montana,NA,
1872,Nevada,NA,
1872,Oregon,NA,
1872,South Dakota,NA,
1872,Utah,NA,
1872,Washington,NA,
1872,Wyoming,NA,
1872,Arizona,NA,
1873,North Carolina,NA,
1873,Alabama,NA,
1873,California,726554,
1873,Colorado,97500,
1873,Georgia,1210,
1873,Idaho,NA,
1873,Maryland,NA,
1873,Montana,NA,
1873,Nevada,NA,
1873,Oregon,NA,
1873,South Dakota,NA,
1873,Utah,NA,
1873,Washington,NA,
1873,Wyoming,NA,
1873,Arizona,NA,
1874,North Carolina,NA,
1874,Alabama,NA,
1874,California,835186,
1874,Colorado,104200,
1874,Georgia,1210,
1874,Idaho,NA,
1874,Maryland,NA,
1874,Montana,NA,
1874,Nevada,NA,
1874,Oregon,NA,
1874,South Dakota,NA,
1874,Utah,NA,
1874,Washington,NA,
1874,Wyoming,NA,
1874,Arizona,NA,
1875,North Carolina,NA,
1875,Alabama,NA,
1875,California,816377,
1875,Colorado,107700,
1875,Georgia,1210,
1875,Idaho,NA,
1875,Maryland,NA,
1875,Montana,NA,
1875,Nevada,NA,
1875,Oregon,NA,
1875,South Dakota,NA,
1875,Utah,NA,
1875,Washington,NA,
1875,Wyoming,NA,
1875,Arizona,NA,
1876,North Carolina,NA,
1876,Alabama,NA,
1876,California,755169,
1876,Colorado,132000,
1876,Georgia,1210,
1876,Idaho,NA,
1876,Maryland,NA,
1876,Montana,NA,
1876,Nevada,NA,
1876,Oregon,NA,
1876,South Dakota,60000,
1876,Utah,NA,
1876,Washington,NA,
1876,Wyoming,NA,
1876,Arizona,NA,
1877,North Carolina,NA,
1877,Alabama,NA,
1877,California,798249,
1877,Colorado,152300,
1877,Georgia,1210,
1877,Idaho,NA,
1877,Maryland,NA,
1877,Montana,NA,
1877,Nevada,NA,
1877,Oregon,NA,
1877,South Dakota,100606,
1877,Utah,NA,
1877,Washington,NA,
1877,Wyoming,NA,
1877,Arizona,NA,
1878,North Carolina,NA,
1878,Alabama,NA,
1878,California,911343,
1878,Colorado,157000,
1878,Georgia,1210,
1878,Idaho,NA,
1878,Maryland,NA,
1878,Montana,NA,
1878,Nevada,NA,
1878,Oregon,NA,
1878,South Dakota,157356,
1878,Utah,NA,
1878,Washington,NA,
1878,Wyoming,NA,
1878,Arizona,NA,
1879,North Carolina,NA,
1879,Alabama,NA,
1879,California,949439,
1879,Colorado,154700,
1879,Georgia,1210,
1879,Idaho,NA,
1879,Maryland,NA,
1879,Montana,NA,
1879,Nevada,NA,
1879,Oregon,NA,
1879,South Dakota,117067,
1879,Utah,NA,
1879,Washington,NA,
1879,Wyoming,NA,
1879,Arizona,NA,
1880,North Carolina,NA,
1880,Alabama,NA,
1880,Alaska,NA,
1880,California,968986,
1880,Colorado,157500,
1880,Georgia,1210,
1880,Idaho,NA,
1880,Maryland,NA,
1880,Michigan,NA,
1880,Montana,NA,
1880,Nevada,NA,
1880,Oregon,NA,
1880,South Dakota,174150,
1880,Utah,NA,
1880,Washington,NA,
1880,Wyoming,NA,
1880,Arizona,NA,
1881,North Carolina,NA,
1881,Alabama,NA,
1881,Alaska,NA,
1881,California,929920,
1881,Colorado,159800,
1881,Georgia,1210,
1881,Idaho,NA,
