year,production_tonnes,stock_lower,stock_upper,stock_wgc_implied
1492,NA,1009.00,1275.00,16985.30
1493,5.80,1014.80,1280.80,16991.10
1494,5.80,1020.60,1286.60,16996.90
1495,5.80,1026.40,1292.40,17002.70
1496,5.80,1032.20,1298.20,17008.50
1497,5.80,1038.00,1304.00,17014.30
1498,5.80,1043.80,1309.80,17020.10
1499,5.80,1049.60,1315.60,17025.90
1500,5.80,1055.40,1321.40,17031.70
1501,5.80,1061.20,1327.20,17037.50
1502,5.80,1067.00,1333.00,17043.30
1503,5.80,1072.80,1338.80,17049.10
1504,5.80,1078.60,1344.60,17054.90
1505,5.80,1084.40,1350.40,17060.70
1506,5.80,1090.20,1356.20,17066.50
1507,5.80,1096.00,1362.00,17072.30
1508,5.80,1101.80,1367.80,17078.10
1509,5.80,1107.60,1373.60,17083.90
1510,5.80,1113.40,1379.40,17089.70
1511,5.80,1119.20,1385.20,17095.50
1512,5.80,1125.00,1391.00,17101.30
1513,5.80,1130.80,1396.80,17107.10
1514,5.80,1136.60,1402.60,17112.90
1515,5.80,1142.40,1408.40,17118.70
1516,5.80,1148.20,1414.20,17124.50
1517,5.80,1154.00,1420.00,17130.30
1518,5.80,1159.80,1425.80,17136.10
1519,5.80,1165.60,1431.60,17141.90
1520,5.80,1171.40,1437.40,17147.70
1521,7.16,1178.56,1444.60,17154.86
1522,7.16,1185.72,1451.70,17162.02
1523,7.16,1192.88,1458.90,17169.18
1524,7.16,1200.04,1466.00,17176.34
1525,7.16,1207.20,1473.20,17183.50
1526,7.16,1214.36,1480.40,17190.66
1527,7.16,1221.52,1487.50,17197.82
1528,7.16,1228.68,1494.70,17204.98
1529,7.16,1235.84,1501.80,17212.14
1530,7.16,1243.00,1509.00,17219.30
1531,7.16,1250.16,1516.20,17226.46
1532,7.16,1257.32,1523.30,17233.62
1533,7.16,1264.48,1530.50,17240.78
1534,7.16,1271.64,1537.60,17247.94
1535,7.16,1278.80,1544.80,17255.10
1536,7.16,1285.96,1552.00,17262.26
1537,7.16,1293.12,1559.10,17269.42
1538,7.16,1300.28,1566.30,17276.58
1539,7.16,1307.44,1573.40,17283.74
1540,7.16,1314.60,1580.60,17290.90
1541,7.16,1321.76,1587.80,17298.06
1542,7.16,1328.92,1594.90,17305.22
1543,7.16,1336.08,1602.10,17312.38
1544,7.16,1343.24,1609.20,17319.54
1545,8.50,1351.74,1617.70,17328.04
1546,8.50,1360.23,1626.20,17336.54
1547,8.50,1368.73,1634.70,17345.03
1548,8.50,1377.23,1643.20,17353.53
1549,8.50,1385.73,1651.70,17362.03
1550,8.50,1394.22,1660.20,17370.53
1551,8.50,1402.72,1668.70,17379.03
1552,8.50,1411.22,1677.20,17387.52
1553,8.50,1419.72,1685.70,17396.02
1554,8.50,1428.21,1694.20,17404.52
1555,8.50,1436.71,1702.70,17413.02
1556,8.50,1445.21,1711.20,17421.51
1557,8.50,1453.71,1719.70,17430.01
1558,8.50,1462.20,1728.20,17438.51
1559,8.50,1470.70,1736.70,17447.01
