Table 58 — general summary of world production of gold1493 to 1927 (fine ounces),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,World total,North America,United States,Canada,Mexico,Central America & West Indies,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,British Guiana,Dutch Guiana,French Guiana,Peru,Uruguay,Venezuela,Europe,Austria-Hungary,Czekoslovakia,France,Germany,Great Britain,Greece,Italy,Norway,Portugal,Rumania,Russia (european),Serbia,Spain,Sweden,Turkey,Yugoslavia,Asia,British India,China,Chosen,British East Indies,Dutch East Indies,Indo-China,Japan,Philippine Islands,Asiatic Russia,Taiwan,Siam,Africa,Ethiopia (Abyssinia),Belgian Congo,British West Africa,Egypt,French West Africa,German East Africa,Madagascar,Portugese East Africa,Rhodesia,Sudan,Tanganyika,British Sout Africa,Transvaal,Union South Africa,Other Africa,Australasia,New Zealand,Australia,Various
1801-1810,5850759,701818,135000,,566818,,4385361,,321507,1205653,999888,1607537,,,,,250776,,,327647,308647,,,,,,,,,,19000,,,,,,234049,,,,,,,,,"34,049",,,385809,,,,,,,,,,,,,,,,,,,16075
1811-1820,3814652,749013,135000,,344013,,2510972,,192904,565853,643015,964522,,,,,144678,,,358507,321507,,,,,,,,,,37000,,,,,,64275,,,,,,,,,64275,,,385809,,,,,,,,,,,,,,,,,,,16076
1821-1830,4685182,463791,150000,,313791,,2353434,,128603,707316,385809,1028824,,,,,102882,,,757911,364911,,,,,,,,,,393000,,,,,,692086,,,,,,,,,692086,,,385809,,,,,,,,,,,,,,,,,,,32151
1831-1840,6567781,595782,318000,,277723,,2748887,,192904,964522,385809,1060974,,,,,144678,,,1343450,522450,,,,,,,,,,821000,,,,,,1445627,,,,,,,,,1445627,,,385809,,,,,,,,,,,,,,,,,,,"48,226"
1841-1850,17117313,5811506,5170420,,641086,,2572058,,192904,771618,321507,1093125,,,,,192904,,,3246939,626939,,,,,,,,,,2629000,,,,,,4618740,,,,,,,,,4618740,,,482261,,,,,,,,,,,,,,,,,,,385809
1851-1860,64500065,27416083,26654625,220039,541419,,2374332,,321508,694456,112527,1125276,,,,,120565,,,3521114,536114,,,,,,,,,,2985000,,,,,,5261665,,,,,,,,,5261665,,,482262,,,,,,,,,,,,,,,,24518985,32977,24486008,985614
1861-1870,61009377,24988747,22941841,1477999,568907,,2508773,,321508,667128,128602,1125276,,,,,122172,,144087,2426588,536918,,,,16670,,,,,,1873000,,,,,,6829241,,,,,,,,,6829241,,,482262,,,141588,,,,,,,,,,,,99543,23863766,5066445,18797321,
1871-1880,56577610,20595926,19127076,904093,564757,,3867160,18970,430175,516822,102881,1465303,,,49642,482614,101275,,699478,2886124,506295,,,90267,2559,,19160,,,,2265000,,,1718,1125,,9994871,,,,,,,79466,,9915405,,,964520,,,284000,,,,,,,,,60165,,,620355,18269009,3688597,14580412,
1881-1890,52385514,16871008,15808339,609247,419857,33565,4678056,30803,34657,316234,380664,1625348,,115614,207628,553666,53885,15559,1343998,3887495,588035,,18808,387000,10684,,58416,,,,2805000,,,16429,3123,,11314477,246815,2549843,272575,,16879,,183646,,8044719,,,1707918,,,248974,,,,16782,,,,,104513,1070651,,266998,13926560,2084744,11841816,
1891-1900,101608364,31387677,24835406,3757204,2609092,185975,5359698,71871,74177,781840,442567,1221359,39602,1050427,277516,783532,177815,30646,408346,4657220,904946,,21893,593915,33540,,55919,645,1716,,3003000,1286,610,32997,4708,,15749627,2777673,3133608,570114,156835,58078,,326900,,8721597,,4822,20173297,62308,,250756,,33315,,132286,1318,240806,,,3481,19449027,,,24280845,2598573,21682272,
1901-1910,183809217,58555541,42350432,7024505,8135144,1045460,5540373,35675,12584,1067710,407879,1355971,113243,735136,270095,1011799,395114,395114,107378,4415898,1103536,,278505,32319,43320,,14817,,4533,,2984000,33443,1314,13234,6012,,22636504,5235759,3134966,1378058,648448,806614,14080,1376454,36342,9560139,393236,52408,54381521,159080,79135,1512238,41402,49632,13986,733295,28075,3936441,8648,,,,47819589,,38179380,4714928,33464452,
1911-1920,206385055,55685260,39722315,7481017,6989017,1492021,6627640,25486,19266,1328967,360753,2332491,279613,357878,203867,894065,482186,482186,329467,2872545,451380,14837,528302,48464,6583,,7895,,486,46281,1708102,47776,5,8049,115,3215,21553875,5323254,1609956,1525317,638645,1249410,26131,2282910,491541,7988719,409793,,99346964,88521,737672,3319017,42178,24829,30543,480437,91457,7319259,86660,,,,87125233,,20298771,2799927,17528844,
