Table 58 — general summary of world production of gold1493 to 1927 (fine ounces),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,World total,North America,United States,Canada,Mexico,Central America & West Indies,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,British Guiana,Dutch Guiana,French Guiana,Peru,Uruguay,Venezuela,Europe,,Austria-Hungary,,Czekoslovakia,France,Germany,Great Britain,Greece,Italy,Norway,Portugal,Rumania,Russia (european),Serbia,Spain,Sweden,Turkey,Yugoslavia,Asia,British India,China,Chosen,British East Indies,Dutch East Indies,Indo-China,Japan,Philippine Islands,Asiatic Russia,Taiwan,Siam,Africa,Ethiopia (Abyssinia),Belgian Congo,British West Africa,Egypt,French West Africa,German East Africa,Madagascar,Portugese East Africa,Rhodesia,Sudan,Tanganyika,British Sout Africa,Transvaal,Union South Africa,Other Africa,Australasia,New Zealand,Australia,Various
1871,6391308,2274443,2104312,105187,64944,,302602,,64301,55299,12860,112528,,,,20094,11574,,25946,264666,,44850,,,,2646,,,,,,,217000,,,170,,,1046910,,,,,,,,,1046910,,,96452,,,32312,,,,,,,,,10,,,64130,2406235,671627,1734608,
1872,5798460,1896727,1741500,90283,64944,,313694,,64301,55299,12860,112528,,,,24370,11574,,32762,271549,,44850,,,,10529,,,,,,,216000,,,170,,,999587,,,,,,,,,999587,,,96452,,,25616,,,,,,,,,14,,,70822,2220451,409740,1810711,
1873,5503951,1880790,1741500,74346,64944,,331364,,64301,55299,12860,112528,,,,33180,11574,,41622,251147,,44850,,,,10127,,,,,,,196000,,,170,,,870408,,,,,,,,,870408,,,96452,,,18241,,,,,,,,,920,,,77291,2073790,464910,1608880,
1874,5359925,1782922,1620122,97856,64944,,365906,,64301,55299,12860,112528,,,,53627,11574,,55717,222751,,44850,,,,8346,385,,,,,,169000,,,170,,,899080,,,,,,,,,899080,,,96452,,,32062,,,,,,,,,14888,,,49552,1992814,346277,1646537,
1875,5340709,1814253,1619009,130300,64944,,395081,,64301,55299,12860,112528,,,,58997,11574,,79522,222511,,44850,,,,8912,579,,,,,,168000,,,170,,,883233,,,,,,,,,883233,,,96452,,,27605,,,,,,,,,11806,,,57041,1929179,326896,1602283,
1876,5429572,2077209,1931575,97729,47905,,363422,3794,21734,49512,8702,128603,,,965,54881,8681,,86550,258072,,61202,,,,6015,293,,5144,,,,185000,,,193,225,,903421,,,,,,,7159,,896262,,,96452,,,34288,,,,,,,,,13536,,,48678,1730996,296255,1434741,
1877,6001368,2411192,2268662,94304,48226,,444673,3794,21734,49512,8702,193515,,,5691,52020,8681,,101024,292774,,57871,,,,9902,143,,3504,,,,221000,,,129,225,,1108979,,,,,,,12860,,1096119,,,96452,,,28363,,,,,,,,,3238,,,64851,1647298,341950,1305348,
1878,5987207,2599755,2477109,74420,48226,,437176,3794,21734,49512,8703,193515,,,7909,55203,8681,,88125,337426,,58643,,,,10063,702,,3504,,,,264000,,,289,225,,1104721,,,,,,,14307,,1090414,,,96452,,,28823,,,,,,,,,2273,,,65356,1411677,285647,1126030,
1879,5415952,2006174,1881787,76547,47840,,443937,3794,21734,49512,6237,193515,,,13214,70056,8681,,78158,399123,,51377,,,,12474,447,,3504,,,,331000,,,96,225,,1072766,,,,,,,22570,,1050196,,,96452,,,27098,,,,,,,,,1546,,,67808,1397500,264467,1133033,
1880,5349158,1852461,1741500,63121,47840,,469305,3794,21734,49512,6237,193515,,,21863,60186,8681,,110052,366105,,52952,,,,11253,10,,3504,,,,298000,,,161,225,,1105766,,,,,,,22570,,1083196,,,96452,,,29642,,,,,,,,,11984,,,54826,1459069,280828,1178241,
1881,5064313,1783675,1678612,63524,41539,,437248,3794,3504,35880,6237,193515,,,15657,62790,5819,,110052,333043,,60025,,,,11253,4,,3504,,,,258000,,,32,225,,943570,,,,,,,22570,,921000,,,96452,,,22610,,,,,,,,,1875,,,71967,1470325,248916,1221409,
