synthetic_id,year,yearbook_table_id,yearbook_table_trans,bgs_statistic_type_trans,country_trans,country_iso2_code,country_iso3_code,pole_of_inaccessibility_longitude,pole_of_inaccessibility_latitude,bgs_commodity_code,bgs_commodity_trans,bgs_sub_commodity_trans,erml_group,erml_commodity,erml_sub_commodity,cgi_commodity_url,quantity,quantity_in_book_style,data_precision_description,sdmx_code,sdmx_translation,units,concat_table_notes_code,concat_table_notes_text,concat_figure_notes_code,concat_figure_notes_text
1-122-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Peru,PE,PER,-73.033826,-13.197341,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2605,2605,,A,Normal value,kilograms,,,,
1-118-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Nicaragua,NI,NIC,-85.034260,12.845120,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3375,3375,,A,Normal value,kilograms,,,,
1-86-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Bolivia,BO,BOL,-64.684753,-16.706876,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,690,690,,A,Normal value,kilograms,,,,
1-289-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Romania,RO,ROU,24.972941,45.853464,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1900,1900,,A,Normal value,kilograms,,,*,Estimates.
1-48-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Nigeria,NG,NGA,8.075654,9.676734,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1,1,,A,Normal value,kilograms,,,,
1-219-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Papua New Guinea,PG,PNG,143.891050,-5.631615,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,728,728,,A,Normal value,kilograms,,,,
1-288-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Portugal,PT,PRT,-8.263146,39.866841,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,426,426,,A,Normal value,kilograms,,,,
1-133-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Venezuela,VE,VEN,-64.007094,7.145968,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,578,578,,A,Normal value,kilograms,,,,
1-285-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,New Zealand,NZ,NZL,169.942601,-44.750720,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,266,266,,A,Normal value,kilograms,,,,
1-17-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Congo,CG,COD,15.556000,-1.440000,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,92,92,,A,Normal value,kilograms,,,,
1-172-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Philippines,PH,PHL,121.417908,17.522436,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,19814,19814,,A,Normal value,kilograms,,,,
1-12-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Cameroon,CM,CMR,12.837806,4.061634,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3,3,,A,Normal value,kilograms,,,,
1-23-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Gabon,GA,GAB,12.322706,-0.309716,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,427,427,,A,Normal value,kilograms,,,,
1-271-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,France,FR,FRA,2.452177,46.620563,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2041,2041,,A,Normal value,kilograms,,,,
1-87-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Brazil,BR,BRA,-49.028010,-12.408957,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5115,5115,,A,Normal value,kilograms,,,,
1-26-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Guinea,GN,GIN,-10.283343,10.617195,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,120,120,,A,Normal value,kilograms,,,*,Estimates.
1-63-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Tanzania,TZ,TZA,34.022162,-5.686961,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,5,5,,A,Normal value,kilograms,,,,
1-33-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Liberia,LR,LBR,-9.430151,6.456315,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,79,79,,A,Normal value,kilograms,,,o|r,Years ended 31st August of that stated.|Purchased by the Bank of Monovia.
1-281-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Japan,JP,JPN,142.796275,43.460760,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,7928,7928,,A,Normal value,kilograms,,,,
1-731-883-57-1971,1971-01-01 00:00:00,57,Mine production of gold,Production,Rhodesia,,,,,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,15600,15600,,A,Normal value,kilograms,,,*,Estimates.
