,Alabama,Alaska,Arizona,California,Colorado,Georgia,Idaho,Maryland,Michigan,Montana,Nevada,New Mexico,North Carolina,Oregon,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,Wyoming
1795,,,,,,,,,,,,,,,,,,,,,,,,
1796,,,,,,,,,,,,,,,,,,,,,,,,
1797,,,,,,,,,,,,,,,,,,,,,,,,
1798,,,,,,,,,,,,,,,,,,,,,,,,
1799,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,114,,,,,,,,,,,
1805,,,,,,,,,,,,,114,,,,,,,,,,,
1806,,,,,,,,,,,,,114,,,,,,,,,,,
1807,,,,,,,,,,,,,114,,,,,,,,,,,
1808,,,,,,,,,,,,,114,,,,,,,,,,,
1809,,,,,,,,,,,,,114,,,,,,,,,,,
1810,,,,,,,,,,,,,114,,,,,,,,,,,
1811,,,,,,,,,,,,,114,,,,,,,,,,,
1812,,,,,,,,,,,,,114,,,,,,,,,,,
1813,,,,,,,,,,,,,114,,,,,,,,,,,
1814,,,,,,,,,,,,,114,,,,,,,,,,,
1815,,,,,,,,,,,,,114,,,,,,,,,,,
1816,,,,,,,,,,,,,114,,,,,,,,,,,
1817,,,,,,,,,,,,,114,,,,,,,,,,,
1818,,,,,,,,,,,,,114,,,,,,,,,,,
1819,,,,,,,,,,,,,114,,,,,,,,,,,
1820,,,,,,,,,,,,,114,,,,,,,,,,,
1821,,,,,,,,,,,,,114,,,,,,,,,,,
1822,,,,,,,,,,,,,114,,,,,,,,,,,
1823,,,,,,,,,,,,,114,,,,,,,,,,,
1824,,,,,,,,,,,,,242,,,,,,,,,,,
1825,,,,,,,,,,,,,822,,,,,,,,,,,
1826,,,,,,,,,,,,,968,,,,,,,,,,,
1827,,,,,,,,,,,,,1016,,,,,,,,,,,
1828,,,,,,,,,,,,,2225,,,,,,,,,,,
1829,,,,,,,,,,,,,6483,,,169,,,,,,,121,
1830,,,,,,10256,,,,,,,9869,,,1258,,,,,,,1161,
1831,31,,,,,8515,,,,,,,14224,,,1064,,48,,,,,1258,
1832,,,,,,6773,,,,,,,22158,,,2177,,48,,,,,1645,
1833,,,,,,1045,,,,,,,22980,,,3193,,339,,,,,5031,
1834,,,,,,20077,,,,,,,18384,,,1838,,145,,,,,3000,
1835,,,,,,15477,,,,,,,12724,,,2051,,5,,,,,2922,
1836,,,,,,9744,,,,,,,7165,,,2671,,15,,,,,3000,
1837,,,,,,4045,,,,,,,5656,,,1422,,,,,,,2521,
1838,526,,,,,16331,,,,,,,14023,,,1959,,73,,,,,2661,
1839,526,,,,,15572,,,,,,,14023,,,1959,,15,,,,,2787,
1840,2962,,,,,18998,,,,,,,14023,,,1959,,5,,,,,1887,
1841,617,,,,,21353,,,,,,,14023,,,1959,,59,,,,,1245,
1842,796,,,,,21860,,,,,,,14023,,,1959,,1557,,,,,2040,
1843,3788,,,,,17329,,,,,,,14023,,,1959,,135,,,,,2329,
1844,4121,,,,,16077,,,,,,,14023,,,1959,,108,,,,,1964,
1845,840,,,,,15428,,,,,,,14023,,,1959,,155,,,,,4199,
1846,991,,,,,15248,,,,,,,14023,,,1959,,128,,,,,2687,
1847,526,,,,,15100,,,,,,,14023,,,1959,,86,,,,,3277,
1848,700,,,11866,,12436,,,,,,3455,22910,,,1963,,346,,,,,2800,
1849,518,,,491072,,11434,,,,,,3455,23502,,,1188,,251,,,,,6259,
1850,316,,,1996586,,10140,,,,,,3455,17200,,,941,,73,,,,,3193,
1851,192,,,3673512,,7606,,,,,,3455,15814,,,1986,,115,,,,,3341,
1852,12,,,3932631,,4671,,,,,,3455,19512,78775,,6142,,36,,,,,4046,
