,caja_lima,caja_cuzco,caja_huancavelica,caja_trujillo,caja_la-paz,caja_potosi,caja_carabaya,caja_oruro,caja_chucuito,caja_arequipa,caja_arica,caja_puno
1531–1540,8541,,,,,,,,,,,
1541–1550,4827,,,,,,,,,,,
1551–1560,3533,,,,,,,,,,,
1561–1570,1183,,,,,,,,,,,
1571–1580,1104,,,,,,,,,,,
1581–1590,299,638,65,,,,,,,,,
1591–1600,56,105,0,,,,,,,,,
1601–1610,25,55,0,,,,,,,,,
1611–1620,1,0,0,,,,,,,,,
1621–1630,0,0,0,,,,,,,,,
1631–1640,0,0,0,,,,,,,,,
1641–1650,0,0,0,,,,,,,,,
1651–1660,0,0,0,2,,,,,,,,
1661–1670,70,0,0,0,,,,,,,,
1671–1680,65,11,0,0,4,,,,,,,
1681–1690,1,109,0,105,38,13,1,,,,,
1691–1700,13,80,0,226,12,7,0,212,,,,
1701–1710,66,82,0,162,43,25,8,229,5,,,
1711–1720,0,20,0,69,43,14,8,229,21,,,
1721–1730,0,17,0,5,9,0,9,292,0,,,
1731–1740,0,39,0,3,0,0,0,243,1,,,
1741–1750,0,1,0,0,1,0,0,255,0,,,
1751–1760,0,0,0,0,21,0,0,170,0,,,
1761–1770,1217,0,0,14,0,0,0,68,0,,,
1771–1780,4252,0,0,729,685,178,0,0,0,,,
1781–1790,5904,2,0,2325,2944,429,0,0,0,57,97,
1791–1800,4611,0,0,5672,3506,1674,0,0,5,254,3,
1801–1810,2392,0,0,3719,4227,1160,0,0,0,80,0,169
