decade,new-granada,ecuador,chile,brazil
1533–1540,2264,257,,
1541–1550,2089,868,3102,
1551–1560,5593,2549,4653,
1561–1570,7604,3226,159,
1571–1580,7977,6143,4873,
1581–1590,6728,6442,1551,
1591–1600,12541,3486,776,
1601–1610,13934,2076,155,
1611–1620,11153,927,71,
1621–1630,8951,1985,23,
1631–1640,3548,635,19,
1641–1650,7885,131,0,
1651–1660,7540,202,0,
1661–1670,4105,233,0,
1671–1680,4406,194,0,
1681–1690,6437,194,0,
1691–1700,4950,339,60,4327
1701–1710,5140,291,15,43270
1711–1720,7499,339,188,46563
1721–1730,8570,144,254,103315
1731–1740,10210,96,426,137930
1741–1750,14793,48,709,145430
1751–1760,17759,2012,1108,111680
1761–1770,20501,1676,6673,107930
1771–1780,22681,1789,9134,107930
1781–1790,27869,4049,9243,92930
1791–1800,33130,4846,9137,70430
1801–1810,34535,914,11560,37715
