year,source,metric,value_tonnes
1492,castaneda_2013,production_tonnes,NA
1492,castaneda_2013,stock_lower,1009
1492,castaneda_2013,stock_upper,1275
1493,castaneda_2013,production_tonnes,5.8
1493,castaneda_2013,stock_lower,1014.8
1493,castaneda_2013,stock_upper,1280.8
1494,castaneda_2013,production_tonnes,5.8
1494,castaneda_2013,stock_lower,1020.6
1494,castaneda_2013,stock_upper,1286.6
1495,castaneda_2013,production_tonnes,5.8
1495,castaneda_2013,stock_lower,1026.4
1495,castaneda_2013,stock_upper,1292.4
1496,castaneda_2013,production_tonnes,5.8
1496,castaneda_2013,stock_lower,1032.2
1496,castaneda_2013,stock_upper,1298.2
1497,castaneda_2013,production_tonnes,5.8
1497,castaneda_2013,stock_lower,1038
1497,castaneda_2013,stock_upper,1304
1498,castaneda_2013,production_tonnes,5.8
1498,castaneda_2013,stock_lower,1043.8
1498,castaneda_2013,stock_upper,1309.8
1499,castaneda_2013,production_tonnes,5.8
1499,castaneda_2013,stock_lower,1049.6
1499,castaneda_2013,stock_upper,1315.6
1500,castaneda_2013,production_tonnes,5.8
1500,castaneda_2013,stock_lower,1055.4
1500,castaneda_2013,stock_upper,1321.4
1501,castaneda_2013,production_tonnes,5.8
1501,castaneda_2013,stock_lower,1061.2
1501,castaneda_2013,stock_upper,1327.2
1502,castaneda_2013,production_tonnes,5.8
1502,castaneda_2013,stock_lower,1067
1502,castaneda_2013,stock_upper,1333
1503,castaneda_2013,production_tonnes,5.8
1503,castaneda_2013,stock_lower,1072.8
1503,castaneda_2013,stock_upper,1338.8
1504,castaneda_2013,production_tonnes,5.8
1504,castaneda_2013,stock_lower,1078.6
1504,castaneda_2013,stock_upper,1344.6
1505,castaneda_2013,production_tonnes,5.8
1505,castaneda_2013,stock_lower,1084.4
1505,castaneda_2013,stock_upper,1350.4
1506,castaneda_2013,production_tonnes,5.8
1506,castaneda_2013,stock_lower,1090.2
1506,castaneda_2013,stock_upper,1356.2
1507,castaneda_2013,production_tonnes,5.8
1507,castaneda_2013,stock_lower,1096
1507,castaneda_2013,stock_upper,1362
1508,castaneda_2013,production_tonnes,5.8
1508,castaneda_2013,stock_lower,1101.8
1508,castaneda_2013,stock_upper,1367.8
1509,castaneda_2013,production_tonnes,5.8
1509,castaneda_2013,stock_lower,1107.6
1509,castaneda_2013,stock_upper,1373.6
1510,castaneda_2013,production_tonnes,5.8
1510,castaneda_2013,stock_lower,1113.4
1510,castaneda_2013,stock_upper,1379.4
1511,castaneda_2013,production_tonnes,5.8
1511,castaneda_2013,stock_lower,1119.2
1511,castaneda_2013,stock_upper,1385.2
1512,castaneda_2013,production_tonnes,5.8
1512,castaneda_2013,stock_lower,1125
1512,castaneda_2013,stock_upper,1391
1513,castaneda_2013,production_tonnes,5.8
1513,castaneda_2013,stock_lower,1130.8
1513,castaneda_2013,stock_upper,1396.8
1514,castaneda_2013,production_tonnes,5.8
1514,castaneda_2013,stock_lower,1136.6
1514,castaneda_2013,stock_upper,1402.6
1515,castaneda_2013,production_tonnes,5.8
1515,castaneda_2013,stock_lower,1142.4
1515,castaneda_2013,stock_upper,1408.4
1516,castaneda_2013,production_tonnes,5.8
1516,castaneda_2013,stock_lower,1148.2
1516,castaneda_2013,stock_upper,1414.2
1517,castaneda_2013,production_tonnes,5.8
1517,castaneda_2013,stock_lower,1154
1517,castaneda_2013,stock_upper,1420
1518,castaneda_2013,production_tonnes,5.8
1518,castaneda_2013,stock_lower,1159.8
1518,castaneda_2013,stock_upper,1425.8
1519,castaneda_2013,production_tonnes,5.8
1519,castaneda_2013,stock_lower,1165.6
1519,castaneda_2013,stock_upper,1431.6
1520,castaneda_2013,production_tonnes,5.8
1520,castaneda_2013,stock_lower,1171.4
1520,castaneda_2013,stock_upper,1437.4
1521,castaneda_2013,production_tonnes,7.16
1521,castaneda_2013,stock_lower,1178.56
1521,castaneda_2013,stock_upper,1444.6
1522,castaneda_2013,production_tonnes,7.16
1522,castaneda_2013,stock_lower,1185.72
1522,castaneda_2013,stock_upper,1451.7
1523,castaneda_2013,production_tonnes,7.16
1523,castaneda_2013,stock_lower,1192.88
1523,castaneda_2013,stock_upper,1458.9
1524,castaneda_2013,production_tonnes,7.16
1524,castaneda_2013,stock_lower,1200.04
1524,castaneda_2013,stock_upper,1466
1525,castaneda_2013,production_tonnes,7.16
1525,castaneda_2013,stock_lower,1207.2
1525,castaneda_2013,stock_upper,1473.2
1526,castaneda_2013,production_tonnes,7.16
1526,castaneda_2013,stock_lower,1214.36
1526,castaneda_2013,stock_upper,1480.4
1527,castaneda_2013,production_tonnes,7.16
1527,castaneda_2013,stock_lower,1221.52
1527,castaneda_2013,stock_upper,1487.5
1528,castaneda_2013,production_tonnes,7.16
1528,castaneda_2013,stock_lower,1228.68
1528,castaneda_2013,stock_upper,1494.7
1529,castaneda_2013,production_tonnes,7.16
1529,castaneda_2013,stock_lower,1235.84
1529,castaneda_2013,stock_upper,1501.8
1530,castaneda_2013,production_tonnes,7.16
1530,castaneda_2013,stock_lower,1243
1530,castaneda_2013,stock_upper,1509
1531,castaneda_2013,production_tonnes,7.16
1531,castaneda_2013,stock_lower,1250.16
1531,castaneda_2013,stock_upper,1516.2
1532,castaneda_2013,production_tonnes,7.16
1532,castaneda_2013,stock_lower,1257.32
1532,castaneda_2013,stock_upper,1523.3
1533,castaneda_2013,production_tonnes,7.16
1533,castaneda_2013,stock_lower,1264.48
1533,castaneda_2013,stock_upper,1530.5
1534,castaneda_2013,production_tonnes,7.16
1534,castaneda_2013,stock_lower,1271.64
1534,castaneda_2013,stock_upper,1537.6
1535,castaneda_2013,production_tonnes,7.16
1535,castaneda_2013,stock_lower,1278.8
1535,castaneda_2013,stock_upper,1544.8
1536,castaneda_2013,production_tonnes,7.16
1536,castaneda_2013,stock_lower,1285.96
1536,castaneda_2013,stock_upper,1552
1537,castaneda_2013,production_tonnes,7.16
1537,castaneda_2013,stock_lower,1293.12
1537,castaneda_2013,stock_upper,1559.1
1538,castaneda_2013,production_tonnes,7.16
1538,castaneda_2013,stock_lower,1300.28
1538,castaneda_2013,stock_upper,1566.3
1539,castaneda_2013,production_tonnes,7.16
1539,castaneda_2013,stock_lower,1307.44
1539,castaneda_2013,stock_upper,1573.4
1540,castaneda_2013,production_tonnes,7.16
1540,castaneda_2013,stock_lower,1314.6
1540,castaneda_2013,stock_upper,1580.6
1541,castaneda_2013,production_tonnes,7.16
1541,castaneda_2013,stock_lower,1321.76
1541,castaneda_2013,stock_upper,1587.8
1542,castaneda_2013,production_tonnes,7.16
1542,castaneda_2013,stock_lower,1328.92
1542,castaneda_2013,stock_upper,1594.9
1543,castaneda_2013,production_tonnes,7.16
1543,castaneda_2013,stock_lower,1336.08
1543,castaneda_2013,stock_upper,1602.1
