year,production_tonnes,stock_lower,stock_upper,stock_wgc_implied,source
1492,NA,1009,1275,16985.3,castaneda_2013
1493,5.8,1014.8,1280.8,16991.1,castaneda_2013
1494,5.8,1020.6,1286.6,16996.9,castaneda_2013
1495,5.8,1026.4,1292.4,17002.7,castaneda_2013
1496,5.8,1032.2,1298.2,17008.5,castaneda_2013
1497,5.8,1038,1304,17014.3,castaneda_2013
1498,5.8,1043.8,1309.8,17020.1,castaneda_2013
1499,5.8,1049.6,1315.6,17025.9,castaneda_2013
1500,5.8,1055.4,1321.4,17031.7,castaneda_2013
1501,5.8,1061.2,1327.2,17037.5,castaneda_2013
1502,5.8,1067,1333,17043.3,castaneda_2013
1503,5.8,1072.8,1338.8,17049.1,castaneda_2013
1504,5.8,1078.6,1344.6,17054.9,castaneda_2013
1505,5.8,1084.4,1350.4,17060.7,castaneda_2013
1506,5.8,1090.2,1356.2,17066.5,castaneda_2013
1507,5.8,1096,1362,17072.3,castaneda_2013
1508,5.8,1101.8,1367.8,17078.1,castaneda_2013
1509,5.8,1107.6,1373.6,17083.9,castaneda_2013
1510,5.8,1113.4,1379.4,17089.7,castaneda_2013
1511,5.8,1119.2,1385.2,17095.5,castaneda_2013
1512,5.8,1125,1391,17101.3,castaneda_2013
1513,5.8,1130.8,1396.8,17107.1,castaneda_2013
1514,5.8,1136.6,1402.6,17112.9,castaneda_2013
1515,5.8,1142.4,1408.4,17118.7,castaneda_2013
1516,5.8,1148.2,1414.2,17124.5,castaneda_2013
1517,5.8,1154,1420,17130.3,castaneda_2013
1518,5.8,1159.8,1425.8,17136.1,castaneda_2013
1519,5.8,1165.6,1431.6,17141.9,castaneda_2013
1520,5.8,1171.4,1437.4,17147.7,castaneda_2013
1521,7.16,1178.56,1444.6,17154.86,castaneda_2013
1522,7.16,1185.72,1451.7,17162.02,castaneda_2013
1523,7.16,1192.88,1458.9,17169.18,castaneda_2013
1524,7.16,1200.04,1466,17176.34,castaneda_2013
1525,7.16,1207.2,1473.2,17183.5,castaneda_2013
1526,7.16,1214.36,1480.4,17190.66,castaneda_2013
1527,7.16,1221.52,1487.5,17197.82,castaneda_2013
1528,7.16,1228.68,1494.7,17204.98,castaneda_2013
1529,7.16,1235.84,1501.8,17212.14,castaneda_2013
1530,7.16,1243,1509,17219.3,castaneda_2013
1531,7.16,1250.16,1516.2,17226.46,castaneda_2013
1532,7.16,1257.32,1523.3,17233.62,castaneda_2013
1533,7.16,1264.48,1530.5,17240.78,castaneda_2013
1534,7.16,1271.64,1537.6,17247.94,castaneda_2013
1535,7.16,1278.8,1544.8,17255.1,castaneda_2013
1536,7.16,1285.96,1552,17262.26,castaneda_2013
1537,7.16,1293.12,1559.1,17269.42,castaneda_2013
1538,7.16,1300.28,1566.3,17276.58,castaneda_2013
1539,7.16,1307.44,1573.4,17283.74,castaneda_2013
1540,7.16,1314.6,1580.6,17290.9,castaneda_2013
1541,7.16,1321.76,1587.8,17298.06,castaneda_2013
1542,7.16,1328.92,1594.9,17305.22,castaneda_2013
1543,7.16,1336.08,1602.1,17312.38,castaneda_2013
1544,7.16,1343.24,1609.2,17319.54,castaneda_2013
1545,8.5,1351.74,1617.7,17328.04,castaneda_2013
