year,country,production_tonnes,source,source_priority
1921,Algeria,0.536826569422,CLIO,1
2001,Algeria,0.3,CLIO,1
2002,Algeria,0.4,CLIO,1
2003,Algeria,0.4,CLIO,1
2004,Algeria,0.6,CLIO,1
2005,Algeria,0.641,CLIO,1
2006,Algeria,0.377,CLIO,1
2007,Algeria,0.236,CLIO,1
2008,Algeria,0.647,CLIO,1
2009,Algeria,0.998,CLIO,1
2010,Algeria,0.723,CLIO,1
2011,Algeria,0.34,CLIO,1
2012,Algeria,0.264,CLIO,1
1939,Angola,0.0464648683609,CLIO,1
1940,Angola,0.083064102683,CLIO,1
1941,Angola,0.112547606707,CLIO,1
1942,Angola,0.173272285187,CLIO,1
1943,Angola,0.0553666186143,CLIO,1
1944,Angola,0.0339627286738,CLIO,1
1945,Angola,0.0232182594189,CLIO,1
1946,Angola,0.0156205872281,CLIO,1
1947,Angola,0.010205828316,CLIO,1
1948,Angola,0.0123036930254,CLIO,1
1949,Angola,0.0090434978689,CLIO,1
1950,Angola,0.0056982541431,CLIO,1
1951,Angola,0.0017293209091,CLIO,1
1952,Angola,0.001133980924,CLIO,1
1953,Angola,5.66990462e-4,CLIO,1
1954,Angola,9.922333085e-4,CLIO,1
1955,Angola,0.0016159228167,CLIO,1
1956,Angola,9.638837854e-4,CLIO,1
1958,Angola,7.370876006e-4,CLIO,1
1959,Angola,0.0011906799702,CLIO,1
1960,Angola,0.0011906799702,CLIO,1
1961,Angola,0.0013607771088,CLIO,1
1962,Angola,0.0021829132787,CLIO,1
1963,Angola,0.0010489323547,CLIO,1
1964,Angola,1.984466617e-4,CLIO,1
1965,Angola,5.66990462e-5,CLIO,1
1968,Angola,2.551457079e-4,CLIO,1
1969,Angola,3.401942772e-4,CLIO,1
1970,Angola,6.700971386e-4,CLIO,1
1971,Angola,8.350485693e-4,CLIO,1
1972,Angola,0.001,CLIO,1
1973,Angola,0.062,CLIO,1
1974,Angola,0.062,CLIO,1
1975,Angola,0.031,CLIO,1
1976,Angola,0.031,CLIO,1
1913,Argentina,0.0035720399106,CLIO,1
1916,Argentina,0.020978647094,CLIO,1
1917,Argentina,0.0063219436513,CLIO,1
1918,Argentina,0.0054998074814,CLIO,1
1919,Argentina,0.0537790453207,CLIO,1
1920,Argentina,0.0779186642404,CLIO,1
1921,Argentina,0.10205828316,CLIO,1
1922,Argentina,0.10205828316,CLIO,1
1923,Argentina,0.106310711625,CLIO,1
1924,Argentina,0.11056314009,CLIO,1
1925,Argentina,0.07654371237,CLIO,1
1926,Argentina,0.052446617735,CLIO,1
1927,Argentina,0.0283495231,CLIO,1
1928,Argentina,0.0283495231,CLIO,1
1929,Argentina,0.0283495231,CLIO,1
1930,Argentina,0.0283495231,CLIO,1
1931,Argentina,0.0283495231,CLIO,1
1932,Argentina,0.0283495231,CLIO,1
1933,Argentina,0.0283495231,CLIO,1
1934,Argentina,0.0283495231,CLIO,1
1935,Argentina,0.32318456334,CLIO,1
1936,Argentina,0.34586418182,CLIO,1
1937,Argentina,0.292326107446,CLIO,1
1938,Argentina,0.238788033071,CLIO,1
1939,Argentina,0.35235622261,CLIO,1
1940,Argentina,0.364574867066,CLIO,1
1941,Argentina,0.499461897976,CLIO,1
1942,Argentina,0.595169887961,CLIO,1
1943,Argentina,0.462522469377,CLIO,1
1944,Argentina,0.152208589524,CLIO,1
1945,Argentina,0.0958497376011,CLIO,1
1946,Argentina,0.227873466678,CLIO,1
1947,Argentina,0.227334825739,CLIO,1
1948,Argentina,0.227065505269,CLIO,1
1949,Argentina,0.2267961848,CLIO,1
1950,Argentina,0.2267961848,CLIO,1
1951,Argentina,0.2267961848,CLIO,1
1952,Argentina,0.2267961848,CLIO,1
1953,Argentina,0.2267961848,CLIO,1
