year,country,production_tonnes,source
1496,World,46.4,Soetbeer
1506,World,58,Soetbeer
1516,World,58,Soetbeer
1526,World,71.6,Soetbeer
1536,World,71.6,Soetbeer
1546,World,78.35,Soetbeer
1556,World,85.1,Soetbeer
1566,World,68.4,Soetbeer
1576,World,68.4,Soetbeer
1586,World,73.8,Soetbeer
1596,World,73.8,Soetbeer
1606,World,85.2,Soetbeer
1616,World,85.2,Soetbeer
1626,World,83,Soetbeer
1636,World,83,Soetbeer
1646,World,87.77,Soetbeer
1656,World,87.77,Soetbeer
1666,World,92.6,Soetbeer
1676,World,92.6,Soetbeer
1686,World,107.65,Soetbeer
1696,World,107.65,Soetbeer
1706,World,128.2,Soetbeer
1716,World,128.2,Soetbeer
1726,World,190.8,Soetbeer
1736,World,190.8,Soetbeer
1746,World,246.1,Soetbeer
1756,World,246.1,Soetbeer
1766,World,207.05,Soetbeer
1776,World,207.05,Soetbeer
1786,World,177.9,Soetbeer
1796,World,177.9,Soetbeer
1806,World,177.78,Soetbeer
