year,country,production_tonnes,source
1496,espanola,1086,TePaske
1506,espanola,12020,TePaske
1506,puerto rico,118,TePaske
1506,tierra firme,620,TePaske
1516,cuba,1799,TePaske
1516,espanola,7135,TePaske
1516,puerto rico,1777,TePaske
1516,tierra firme,465,TePaske
1526,Mexico,2358,TePaske
1526,cuba,807,TePaske
1526,espanola,1152,TePaske
1526,puerto rico,1450,TePaske
1526,tierra firme,310,TePaske
1536,Mexico,3769,TePaske
1536,Peru,8541,TePaske
1536,cuba,473,TePaske
1536,ecuador,257,TePaske
1536,espanola,1087,TePaske
1536,new-granada,2264,TePaske
1536,puerto rico,689,TePaske
1536,tierra firme,155,TePaske
1546,Mexico,1256,TePaske
1546,Peru,4827,TePaske
1546,chile,3102,TePaske
1546,cuba,119,TePaske
1546,ecuador,868,TePaske
1546,espanola,855,TePaske
1546,new-granada,2089,TePaske
1546,puerto rico,341,TePaske
1546,tierra firme,78,TePaske
1553,espanola,53,TePaske
1556,Mexico,124,TePaske
1556,Peru,3533,TePaske
1556,chile,4653,TePaske
1556,ecuador,2549,TePaske
1556,new-granada,5593,TePaske
1566,Mexico,124,TePaske
1566,Peru,1183,TePaske
1566,chile,159,TePaske
1566,ecuador,3226,TePaske
1566,new-granada,7604,TePaske
1576,Mexico,78,TePaske
1576,Peru,1104,TePaske
1576,chile,4873,TePaske
1576,ecuador,6143,TePaske
1576,new-granada,7977,TePaske
1586,Mexico,82,TePaske
1586,Peru,1002,TePaske
1586,chile,1551,TePaske
1586,ecuador,6442,TePaske
1586,new-granada,6728,TePaske
1596,Mexico,1483,TePaske
1596,Peru,161,TePaske
1596,chile,776,TePaske
1596,ecuador,3486,TePaske
1596,new-granada,12541,TePaske
1606,Mexico,3535,TePaske
1606,Peru,80,TePaske
1606,chile,155,TePaske
1606,ecuador,2076,TePaske
1606,new-granada,13934,TePaske
1616,Mexico,4010,TePaske
1616,Peru,1,TePaske
1616,chile,71,TePaske
1616,ecuador,927,TePaske
1616,new-granada,11153,TePaske
1626,Mexico,4428,TePaske
1626,chile,23,TePaske
1626,ecuador,1985,TePaske
1626,new-granada,8951,TePaske
1636,Mexico,3924,TePaske
1636,chile,19,TePaske
1636,ecuador,635,TePaske
1636,new-granada,3548,TePaske
1646,Mexico,2427,TePaske
1646,ecuador,131,TePaske
1646,new-granada,7885,TePaske
1656,Mexico,2687,TePaske
1656,Peru,2,TePaske
1656,ecuador,202,TePaske
1656,new-granada,7540,TePaske
1666,Mexico,2943,TePaske
1666,Peru,70,TePaske
1666,ecuador,233,TePaske
1666,new-granada,4105,TePaske
1676,Mexico,2372,TePaske
1676,Peru,80,TePaske
1676,ecuador,194,TePaske
1676,new-granada,4406,TePaske
1686,Mexico,2186,TePaske
1686,Peru,267,TePaske
1686,ecuador,194,TePaske
1686,new-granada,6437,TePaske
1696,Brazil,4327,TePaske
1696,Mexico,2740,TePaske
1696,Peru,550,TePaske
1696,brazil,4327,TePaske
1696,chile,60,TePaske
1696,ecuador,339,TePaske
1696,new-granada,4950,TePaske
1706,Brazil,43270,TePaske
1706,Mexico,2212,TePaske
1706,Peru,620,TePaske
1706,brazil,43270,TePaske
1706,chile,15,TePaske
1706,ecuador,291,TePaske
1706,new-granada,5140,TePaske
1716,Brazil,46563,TePaske
1716,Mexico,2498,TePaske
1716,Peru,404,TePaske
1716,brazil,46563,TePaske
1716,chile,188,TePaske
1716,ecuador,339,TePaske
1716,new-granada,7499,TePaske
1726,Brazil,103315,TePaske
1726,Mexico,2555,TePaske
1726,Peru,332,TePaske
1726,brazil,103315,TePaske
1726,chile,254,TePaske
1726,ecuador,144,TePaske
1726,new-granada,8570,TePaske
1736,Brazil,137930,TePaske
1736,Mexico,4816,TePaske
1736,Peru,286,TePaske
1736,brazil,137930,TePaske
1736,chile,426,TePaske
1736,ecuador,96,TePaske
1736,new-granada,10210,TePaske
1746,Brazil,145430,TePaske
1746,Mexico,7411,TePaske
1746,Peru,257,TePaske
1746,brazil,145430,TePaske
1746,chile,709,TePaske
1746,ecuador,48,TePaske
1746,new-granada,14793,TePaske
1756,Brazil,111680,TePaske
1756,Mexico,7493,TePaske
1756,Peru,191,TePaske
1756,brazil,111680,TePaske
1756,chile,1108,TePaske
1756,ecuador,2012,TePaske
1756,new-granada,17759,TePaske
1766,Brazil,107930,TePaske
1766,Mexico,9897,TePaske
1766,Peru,1299,TePaske
1766,brazil,107930,TePaske
1766,chile,6673,TePaske
1766,ecuador,1676,TePaske
1766,new-granada,20501,TePaske
1776,Brazil,107930,TePaske
1776,Mexico,12220,TePaske
1776,Peru,5844,TePaske
1776,brazil,107930,TePaske
1776,chile,9134,TePaske
1776,ecuador,1789,TePaske
1776,new-granada,22681,TePaske
1786,Brazil,92930,TePaske
1786,Mexico,8738,TePaske
1786,Peru,11758,TePaske
1786,brazil,92930,TePaske
1786,chile,9243,TePaske
1786,ecuador,4049,TePaske
1786,new-granada,27869,TePaske
1796,Brazil,70430,TePaske
1796,Mexico,15422,TePaske
1796,Peru,15725,TePaske
1796,brazil,70430,TePaske
1796,chile,9137,TePaske
1796,ecuador,4846,TePaske
1796,new-granada,33130,TePaske
1806,Brazil,7043,TePaske
1806,Mexico,23843,TePaske
1806,Peru,11747,TePaske
1806,brazil,37715,TePaske
1806,chile,11560,TePaske
1806,ecuador,914,TePaske
1806,new-granada,34535,TePaske
