year,country,region,province,production_tonnes,source
1496,espanola,Caribbean,NA,1086,TePaske
1506,espanola,Caribbean,NA,12020,TePaske
1506,puerto rico,Caribbean,NA,118,TePaske
1506,tierra firme,Caribbean,NA,620,TePaske
1516,cuba,Caribbean,NA,1799,TePaske
1516,espanola,Caribbean,NA,7135,TePaske
1516,puerto rico,Caribbean,NA,1777,TePaske
1516,tierra firme,Caribbean,NA,465,TePaske
1526,Mexico,New Spain,caja_mexico,2358,TePaske
1526,cuba,Caribbean,NA,807,TePaske
1526,espanola,Caribbean,NA,1152,TePaske
1526,puerto rico,Caribbean,NA,1450,TePaske
1526,tierra firme,Caribbean,NA,310,TePaske
1536,Mexico,New Spain,caja_mexico,3769,TePaske
1536,Peru,Viceroyalty of Peru,caja_lima,8541,TePaske
1536,cuba,Caribbean,NA,473,TePaske
1536,ecuador,South America,NA,257,TePaske
1536,espanola,Caribbean,NA,1087,TePaske
1536,new-granada,South America,NA,2264,TePaske
1536,puerto rico,Caribbean,NA,689,TePaske
1536,tierra firme,Caribbean,NA,155,TePaske
1546,Mexico,New Spain,caja_mexico,1256,TePaske
1546,Peru,Viceroyalty of Peru,caja_lima,4827,TePaske
1546,chile,South America,NA,3102,TePaske
1546,cuba,Caribbean,NA,119,TePaske
1546,ecuador,South America,NA,868,TePaske
1546,espanola,Caribbean,NA,855,TePaske
1546,new-granada,South America,NA,2089,TePaske
1546,puerto rico,Caribbean,NA,341,TePaske
1546,tierra firme,Caribbean,NA,78,TePaske
1553,espanola,Caribbean,NA,53,TePaske
1556,Mexico,New Spain,caja_mexico,124,TePaske
1556,Peru,Viceroyalty of Peru,caja_lima,3533,TePaske
1556,chile,South America,NA,4653,TePaske
1556,ecuador,South America,NA,2549,TePaske
1556,new-granada,South America,NA,5593,TePaske
1566,Mexico,New Spain,caja_mexico,124,TePaske
1566,Peru,Viceroyalty of Peru,caja_lima,1183,TePaske
1566,chile,South America,NA,159,TePaske
1566,ecuador,South America,NA,3226,TePaske
1566,new-granada,South America,NA,7604,TePaske
1576,Mexico,New Spain,caja_mexico,78,TePaske
1576,Peru,Viceroyalty of Peru,caja_lima,1104,TePaske
1576,chile,South America,NA,4873,TePaske
1576,ecuador,South America,NA,6143,TePaske
1576,new-granada,South America,NA,7977,TePaske
1586,Mexico,New Spain,caja_mexico,82,TePaske
1586,Peru,Viceroyalty of Peru,caja_cuzco,638,TePaske
1586,Peru,Viceroyalty of Peru,caja_huancavelica,65,TePaske
1586,Peru,Viceroyalty of Peru,caja_lima,299,TePaske
1586,chile,South America,NA,1551,TePaske
1586,ecuador,South America,NA,6442,TePaske
1586,new-granada,South America,NA,6728,TePaske
1596,Mexico,New Spain,caja_mexico,1483,TePaske
1596,Peru,Viceroyalty of Peru,caja_cuzco,105,TePaske
1596,Peru,Viceroyalty of Peru,caja_lima,56,TePaske
1596,chile,South America,NA,776,TePaske
1596,ecuador,South America,NA,3486,TePaske
1596,new-granada,South America,NA,12541,TePaske
1606,Mexico,New Spain,caja_durango,6,TePaske
1606,Mexico,New Spain,caja_mexico,3526,TePaske
1606,Mexico,New Spain,caja_zacatecas,3,TePaske
1606,Peru,Viceroyalty of Peru,caja_cuzco,55,TePaske
1606,Peru,Viceroyalty of Peru,caja_lima,25,TePaske
1606,chile,South America,NA,155,TePaske
1606,ecuador,South America,NA,2076,TePaske
1606,new-granada,South America,NA,13934,TePaske
1616,Mexico,New Spain,caja_mexico,4010,TePaske
1616,Peru,Viceroyalty of Peru,caja_lima,1,TePaske
1616,chile,South America,NA,71,TePaske
1616,ecuador,South America,NA,927,TePaske
1616,new-granada,South America,NA,11153,TePaske
1626,Mexico,New Spain,caja_mexico,3260,TePaske
1626,Mexico,New Spain,caja_san luis potosi,1168,TePaske
1626,chile,South America,NA,23,TePaske
1626,ecuador,South America,NA,1985,TePaske
1626,new-granada,South America,NA,8951,TePaske
1636,Mexico,New Spain,caja_mexico,143,TePaske
1636,Mexico,New Spain,caja_san luis potosi,3781,TePaske
1636,chile,South America,NA,19,TePaske
1636,ecuador,South America,NA,635,TePaske
1636,new-granada,South America,NA,3548,TePaske
1646,Mexico,New Spain,caja_guadaljara,4,TePaske
1646,Mexico,New Spain,caja_mexico,65,TePaske
1646,Mexico,New Spain,caja_san luis potosi,2358,TePaske
1646,ecuador,South America,NA,131,TePaske
1646,new-granada,South America,NA,7885,TePaske
1656,Mexico,New Spain,caja_durango,11,TePaske
1656,Mexico,New Spain,caja_guadaljara,16,TePaske
1656,Mexico,New Spain,caja_mexico,724,TePaske
1656,Mexico,New Spain,caja_san luis potosi,1936,TePaske
1656,Peru,Viceroyalty of Peru,caja_trujillo,2,TePaske
1656,ecuador,South America,NA,202,TePaske
1656,new-granada,South America,NA,7540,TePaske
1666,Mexico,New Spain,caja_guadaljara,98,TePaske
1666,Mexico,New Spain,caja_guanajuato,113,TePaske
