year,country,region,province,geographic_level,production_tonnes,source
1496,Hispaniola,Caribbean,NA,region,1086,TePaske
1506,Hispaniola,Caribbean,NA,region,12020,TePaske
1506,Puerto Rico,Caribbean,NA,region,118,TePaske
1506,Tierra Firme,Caribbean,NA,region,620,TePaske
1516,Cuba,Caribbean,NA,region,1799,TePaske
1516,Hispaniola,Caribbean,NA,region,7135,TePaske
1516,Puerto Rico,Caribbean,NA,region,1777,TePaske
1516,Tierra Firme,Caribbean,NA,region,465,TePaske
1526,Mexico,New Spain,caja_mexico,province,2358,TePaske
1526,Cuba,Caribbean,NA,region,807,TePaske
1526,Hispaniola,Caribbean,NA,region,1152,TePaske
1526,Puerto Rico,Caribbean,NA,region,1450,TePaske
1526,Tierra Firme,Caribbean,NA,region,310,TePaske
1536,Mexico,New Spain,caja_mexico,province,3769,TePaske
1536,Peru,Viceroyalty of Peru,caja_lima,province,8541,TePaske
1536,Cuba,Caribbean,NA,region,473,TePaske
1536,Ecuador,South America,NA,region,257,TePaske
1536,Hispaniola,Caribbean,NA,region,1087,TePaske
1536,New Granada,South America,NA,region,2264,TePaske
1536,Puerto Rico,Caribbean,NA,region,689,TePaske
1536,Tierra Firme,Caribbean,NA,region,155,TePaske
1546,Mexico,New Spain,caja_mexico,province,1256,TePaske
1546,Peru,Viceroyalty of Peru,caja_lima,province,4827,TePaske
1546,Chile,South America,NA,region,3102,TePaske
1546,Cuba,Caribbean,NA,region,119,TePaske
1546,Ecuador,South America,NA,region,868,TePaske
1546,Hispaniola,Caribbean,NA,region,855,TePaske
1546,New Granada,South America,NA,region,2089,TePaske
1546,Puerto Rico,Caribbean,NA,region,341,TePaske
1546,Tierra Firme,Caribbean,NA,region,78,TePaske
1553,Hispaniola,Caribbean,NA,region,53,TePaske
1556,Mexico,New Spain,caja_mexico,province,124,TePaske
1556,Peru,Viceroyalty of Peru,caja_lima,province,3533,TePaske
1556,Chile,South America,NA,region,4653,TePaske
1556,Ecuador,South America,NA,region,2549,TePaske
1556,New Granada,South America,NA,region,5593,TePaske
1566,Mexico,New Spain,caja_mexico,province,124,TePaske
1566,Peru,Viceroyalty of Peru,caja_lima,province,1183,TePaske
1566,Chile,South America,NA,region,159,TePaske
1566,Ecuador,South America,NA,region,3226,TePaske
1566,New Granada,South America,NA,region,7604,TePaske
1576,Mexico,New Spain,caja_mexico,province,78,TePaske
1576,Peru,Viceroyalty of Peru,caja_lima,province,1104,TePaske
1576,Chile,South America,NA,region,4873,TePaske
1576,Ecuador,South America,NA,region,6143,TePaske
1576,New Granada,South America,NA,region,7977,TePaske
1586,Mexico,New Spain,caja_mexico,province,82,TePaske
1586,Peru,Viceroyalty of Peru,caja_cuzco,province,638,TePaske
1586,Peru,Viceroyalty of Peru,caja_huancavelica,province,65,TePaske
1586,Peru,Viceroyalty of Peru,caja_lima,province,299,TePaske
1586,Chile,South America,NA,region,1551,TePaske
1586,Ecuador,South America,NA,region,6442,TePaske
1586,New Granada,South America,NA,region,6728,TePaske
