year,country,production_tonnes,source
1696,minas_gerais,4327,TePaske_Brazil
1706,minas_gerais,43270,TePaske_Brazil
1716,minas_gerais,43270,TePaske_Brazil
1716,mato_grosso-goais,2378,TePaske_Brazil
1716,sao_paulo-bahia-ceara,915,TePaske_Brazil
1726,minas_gerais,70385,TePaske_Brazil
1726,mato_grosso-goais,23780,TePaske_Brazil
1726,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1736,minas_gerais,105000,TePaske_Brazil
1736,mato_grosso-goais,23780,TePaske_Brazil
1736,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1746,minas_gerais,112500,TePaske_Brazil
1746,mato_grosso-goais,23780,TePaske_Brazil
1746,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1756,minas_gerais,78750,TePaske_Brazil
1756,mato_grosso-goais,23780,TePaske_Brazil
1756,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1766,minas_gerais,75000,TePaske_Brazil
1766,mato_grosso-goais,23780,TePaske_Brazil
1766,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1776,minas_gerais,75000,TePaske_Brazil
1776,mato_grosso-goais,23780,TePaske_Brazil
1776,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1786,minas_gerais,60000,TePaske_Brazil
1786,mato_grosso-goais,23780,TePaske_Brazil
1786,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1796,minas_gerais,37500,TePaske_Brazil
1796,mato_grosso-goais,23780,TePaske_Brazil
1796,sao_paulo-bahia-ceara,9150,TePaske_Brazil
1806,minas_gerais,3750,TePaske_Brazil
1806,mato_grosso-goais,2378,TePaske_Brazil
1806,sao_paulo-bahia-ceara,915,TePaske_Brazil
1496,espanola,1086,TePaske_Caribbean
1506,espanola,12020,TePaske_Caribbean
1506,puerto rico,118,TePaske_Caribbean
1506,tierra firme,620,TePaske_Caribbean
1516,espanola,7135,TePaske_Caribbean
1516,puerto rico,1777,TePaske_Caribbean
1516,cuba,1799,TePaske_Caribbean
1516,tierra firme,465,TePaske_Caribbean
1526,espanola,1152,TePaske_Caribbean
1526,puerto rico,1450,TePaske_Caribbean
1526,cuba,807,TePaske_Caribbean
1526,tierra firme,310,TePaske_Caribbean
1536,espanola,1087,TePaske_Caribbean
1536,puerto rico,689,TePaske_Caribbean
1536,cuba,473,TePaske_Caribbean
1536,tierra firme,155,TePaske_Caribbean
1546,espanola,855,TePaske_Caribbean
1546,puerto rico,341,TePaske_Caribbean
1546,cuba,119,TePaske_Caribbean
1546,tierra firme,78,TePaske_Caribbean
1553,espanola,53,TePaske_Caribbean
1496,carribean,1086,TePaske_LatinAmerica
1506,carribean,2718,TePaske_LatinAmerica
1516,carribean,1177,TePaske_LatinAmerica
1526,carribean,3719,TePaske_LatinAmerica
1526,mexico,2358,TePaske_LatinAmerica
1536,carribean,2404,TePaske_LatinAmerica
1536,mexico,3769,TePaske_LatinAmerica
1536,peru,8541,TePaske_LatinAmerica
1536,new granada,2264,TePaske_LatinAmerica
1536,ecuador,257,TePaske_LatinAmerica
1546,carribean,1393,TePaske_LatinAmerica
1546,mexico,1256,TePaske_LatinAmerica
1546,peru,4827,TePaske_LatinAmerica
1546,new granada,2089,TePaske_LatinAmerica
1546,ecuador,868,TePaske_LatinAmerica
1546,chile,3102,TePaske_LatinAmerica
1556,carribean,53,TePaske_LatinAmerica
1556,mexico,124,TePaske_LatinAmerica
1556,peru,3533,TePaske_LatinAmerica
1556,new granada,5593,TePaske_LatinAmerica
1556,ecuador,2549,TePaske_LatinAmerica
1556,chile,4653,TePaske_LatinAmerica
1566,mexico,124,TePaske_LatinAmerica
1566,peru,1183,TePaske_LatinAmerica
1566,new granada,7604,TePaske_LatinAmerica
1566,ecuador,3226,TePaske_LatinAmerica
1566,chile,1590,TePaske_LatinAmerica
1576,mexico,78,TePaske_LatinAmerica
1576,peru,1104,TePaske_LatinAmerica
1576,new granada,7977,TePaske_LatinAmerica
1576,ecuador,6143,TePaske_LatinAmerica
1576,chile,4873,TePaske_LatinAmerica
1586,mexico,82,TePaske_LatinAmerica
1586,peru,1002,TePaske_LatinAmerica
1586,new granada,6728,TePaske_LatinAmerica
1586,ecuador,6442,TePaske_LatinAmerica
1586,chile,1551,TePaske_LatinAmerica
1596,mexico,1483,TePaske_LatinAmerica
1596,peru,161,TePaske_LatinAmerica
1596,new granada,125411,TePaske_LatinAmerica
1596,ecuador,3486,TePaske_LatinAmerica
1596,chile,776,TePaske_LatinAmerica
1606,mexico,3535,TePaske_LatinAmerica
1606,peru,80,TePaske_LatinAmerica
1606,new granada,139341,TePaske_LatinAmerica
1606,ecuador,2076,TePaske_LatinAmerica
1606,chile,155,TePaske_LatinAmerica
1616,mexico,4010,TePaske_LatinAmerica
1616,peru,1,TePaske_LatinAmerica
1616,new granada,111531,TePaske_LatinAmerica
1616,ecuador,927,TePaske_LatinAmerica
1616,chile,71,TePaske_LatinAmerica
1626,mexico,4428,TePaske_LatinAmerica
1626,new granada,8951,TePaske_LatinAmerica
1626,ecuador,1985,TePaske_LatinAmerica
1626,chile,23,TePaske_LatinAmerica
1636,mexico,3924,TePaske_LatinAmerica
